Drug_ID,Gene_ID,Disease_ID
620,245,1386
621,427,3872
621,427,1581
622,290,2356
625,87,1121
626,55,4977
627,169,5371
176,0,657
176,0,1201
176,0,669
631,291,1048
370,17,765
370,17,4229
370,17,5290
370,17,1708
370,17,5087
370,17,3136
370,17,5355
633,433,2494
633,433,4376
633,433,4579
634,74,3705
191,434,4016
191,434,4308
635,145,5356
636,57,2085
636,57,2521
636,57,4813
627,67,1301
638,17,765
638,17,4229
638,17,5290
638,17,1708
638,17,5087
638,17,3136
638,17,5355
154,57,2085
154,57,2521
154,57,4813
640,436,2310
641,124,4630
641,124,4678
644,439,4777
644,439,1568
644,439,1669
644,439,98
644,439,5595
644,439,2221
644,439,582
401,440,3488
401,440,2132
645,441,5603
645,441,3467
648,261,5443
627,356,4298
627,356,5107
627,356,5664
649,443,395
652,445,3268
52,233,3176
655,46,5486
656,326,5344
574,450,2180
658,290,2356
62,452,2430
660,453,20
660,453,5675
663,455,2828
339,456,1429
315,67,1301
187,329,159
187,329,4837
665,457,5587
667,145,5356
668,8,5185
668,8,5148
668,8,847
176,184,3461
176,184,2729
669,459,5117
669,459,3258
669,459,928
98,460,251
46,57,2085
46,57,2521
46,57,4813
63,58,4237
63,58,2097
670,461,2962
671,278,4032
671,278,3003
671,278,5220
671,278,4589
671,278,4115
672,113,3538
672,113,4420
677,465,2573
677,465,5459
677,465,5354
677,465,5388
678,17,765
678,17,4229
678,17,5290
678,17,1708
678,17,5087
678,17,3136
678,17,5355
412,467,5585
412,467,3922
2,124,4630
2,124,4678
683,468,2900
683,468,4193
684,141,1128
685,469,590
685,469,3988
686,57,2085
686,57,2521
686,57,4813
687,166,2004
687,166,5466
688,125,271
689,26,2638
689,26,3272
689,26,5259
445,160,4277
445,160,3094
445,160,5408
445,160,2298
445,160,5023
445,160,3662
691,124,4630
691,124,4678
695,17,765
695,17,4229
695,17,5290
695,17,1708
695,17,5087
695,17,3136
695,17,5355
696,6,4293
697,456,1429
178,473,911
627,89,5105
627,89,5474
702,17,765
702,17,4229
702,17,5290
702,17,1708
702,17,5087
702,17,3136
702,17,5355
703,17,765
703,17,4229
703,17,5290
703,17,1708
703,17,5087
703,17,3136
703,17,5355
280,477,1059
449,221,2432
708,247,2099
91,329,159
91,329,4837
709,480,3045
711,300,3255
711,300,27
711,300,1088
711,300,5384
517,67,1301
712,17,765
712,17,4229
712,17,5290
712,17,1708
712,17,5087
712,17,3136
712,17,5355
713,56,2443
713,56,5586
713,56,4313
713,56,2612
713,56,5284
713,56,5661
714,370,4952
714,370,2232
715,57,2085
715,57,2521
715,57,4813
716,98,2904
720,412,4161
721,484,4760
721,484,5598
641,21,3070
97,486,2718
383,261,5443
722,124,4630
722,124,4678
362,139,1929
724,22,2101
724,22,4178
724,22,2385
724,22,4291
509,488,1759
728,489,3732
728,489,4831
734,493,825
734,493,2368
734,493,379
739,496,197
739,496,2388
740,83,3400
741,56,2443
741,56,5586
741,56,4313
741,56,2612
741,56,5284
741,56,5661
742,95,1887
742,95,3857
742,95,2873
743,388,4645
213,329,159
213,329,4837
351,21,3070
744,17,765
744,17,4229
744,17,5290
744,17,1708
744,17,5087
744,17,3136
744,17,5355
745,53,3928
745,53,5211
747,497,913
747,497,5348
747,497,4159
747,497,769
748,498,1692
748,498,2651
748,498,195
748,498,1687
749,499,2094
749,499,3346
750,500,1032
751,290,2356
622,388,4645
544,412,4161
753,501,5234
753,501,1893
449,213,2471
614,139,1929
616,21,3070
284,74,3705
756,502,5637
756,502,5648
756,502,5651
757,26,2638
757,26,3272
757,26,5259
170,100,3292
761,507,864
141,353,5522
762,172,5430
7,221,2432
82,213,2471
763,210,2709
764,56,2443
764,56,5586
764,56,4313
764,56,2612
764,56,5284
764,56,5661
